"id","parent_id","name","data"
"4190","4086","T-shirts","{""id"":""4190"",""ordinal"":""7"",""name"":""T-shirts"",""display_name"":"""",""created_at"":""2018-10-02 17:12:33"",""updated_at"":""2019-06-04 17:18:35"",""code"":""sports & outdoors > apparel > boys > outdoor recreation > t-shirts"",""parent_id"":""4086"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > boys > outdoor recreation"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""4077"",""level4"":""4086"",""level5"":""4190"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4306","4305","Coats and Jackets","{""id"":""4306"",""ordinal"":""1"",""name"":""Coats and Jackets"",""display_name"":"""",""created_at"":""2018-10-22 12:54:54"",""updated_at"":""2019-06-04 17:18:35"",""code"":""sports & outdoors > apparel > womens > basketball > coats and jackets"",""parent_id"":""4305"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > womens > basketball"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3769"",""level4"":""4305"",""level5"":""4306"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4492","4489","Robes","{""id"":""4492"",""ordinal"":""3"",""name"":""Robes"",""display_name"":"""",""created_at"":""2019-05-07 11:48:32"",""updated_at"":""2019-06-04 17:18:39"",""code"":""apparel & footwear > unisex > kids > apparel > sleepwear & robes > robes"",""parent_id"":""4489"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > unisex > kids > apparel > sleepwear & robes"",""level"":""6"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""4393"",""level3"":""4396"",""level4"":""4441"",""level5"":""4489"",""level6"":""4492"",""level7"":"""",""level8"":""""}"
"4578","4574","Skinsuits","{""id"":""4578"",""ordinal"":""4"",""name"":""Skinsuits"",""display_name"":"""",""created_at"":""2019-05-23 14:08:12"",""updated_at"":""2019-06-04 17:18:40"",""code"":""sports & outdoors > apparel > womens > cycling > skinsuits"",""parent_id"":""4574"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > womens > cycling"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3769"",""level4"":""4574"",""level5"":""4578"",""level6"":"""",""level7"":"""",""level8"":""""}"
"179","175","Pyjama Sets","{""id"":""179"",""ordinal"":""4"",""name"":""Pyjama Sets"",""display_name"":"""",""created_at"":""2017-03-22 15:00:39"",""updated_at"":""2019-06-04 17:17:41"",""code"":""apparel & footwear > men's > sleepwear & loungewear > pyjama sets"",""parent_id"":""175"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > men's > sleepwear & loungewear"",""level"":""4"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""141"",""level3"":""175"",""level4"":""179"",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
"204","200","Overalls","{""id"":""204"",""ordinal"":""4"",""name"":""Overalls"",""display_name"":"""",""created_at"":""2017-03-22 15:00:40"",""updated_at"":""2019-06-04 17:17:42"",""code"":""apparel & footwear > men's > work & safety > apparel > overalls"",""parent_id"":""200"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > men's > work & safety > apparel"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""141"",""level3"":""199"",""level4"":""200"",""level5"":""204"",""level6"":"""",""level7"":"""",""level8"":""""}"
"243","240","Flip Flops","{""id"":""243"",""ordinal"":""3"",""name"":""Flip Flops"",""display_name"":"""",""created_at"":""2017-03-22 15:00:40"",""updated_at"":""2019-06-04 17:17:42"",""code"":""apparel & footwear > women's > footwear > flip flops"",""parent_id"":""240"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > women's > footwear"",""level"":""4"",""leaf"":""true"",""expected_variant_count"":""2"",""level1"":""1"",""level2"":""215"",""level3"":""240"",""level4"":""243"",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
"2379","2354","Umbrellas","{""id"":""2379"",""ordinal"":""12"",""name"":""Umbrellas"",""display_name"":"""",""created_at"":""2017-03-22 15:00:53"",""updated_at"":""2019-06-04 17:18:06"",""code"":""jewellery & accessories > girls > accessories > umbrellas"",""parent_id"":""2354"",""logistic_class_code"":""SLW"",""parent_code"":""jewellery & accessories > girls > accessories"",""level"":""4"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2267"",""level2"":""2353"",""level3"":""2354"",""level4"":""2379"",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
"2417","2416","Accessories","{""id"":""2417"",""ordinal"":""1"",""name"":""Accessories"",""display_name"":"""",""created_at"":""2017-03-22 15:00:53"",""updated_at"":""2019-06-04 17:18:08"",""code"":""jewellery & accessories > men's > accessories > eyewear & accessories > accessories"",""parent_id"":""2416"",""logistic_class_code"":""SLW"",""parent_code"":""jewellery & accessories > men's > accessories > eyewear & accessories"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2267"",""level2"":""2402"",""level3"":""2403"",""level4"":""2416"",""level5"":""2417"",""level6"":"""",""level7"":"""",""level8"":""""}"
"2485","2462","Scarves & Wraps","{""id"":""2485"",""ordinal"":""10"",""name"":""Scarves & Wraps"",""display_name"":"""",""created_at"":""2017-03-22 15:00:54"",""updated_at"":""2019-06-04 17:18:08"",""code"":""jewellery & accessories > women's > accessories > scarves & wraps"",""parent_id"":""2462"",""logistic_class_code"":""SLW"",""parent_code"":""jewellery & accessories > women's > accessories"",""level"":""4"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2267"",""level2"":""2461"",""level3"":""2462"",""level4"":""2485"",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
"3873","3782","Long Sleeve Tops","{""id"":""3873"",""ordinal"":""4"",""name"":""Long Sleeve Tops"",""display_name"":"""",""created_at"":""2017-10-19 16:07:50"",""updated_at"":""2019-06-04 17:18:29"",""code"":""sports & outdoors > apparel > womens > yoga > long sleeve tops"",""parent_id"":""3782"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > womens > yoga"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3769"",""level4"":""3782"",""level5"":""3873"",""level6"":"""",""level7"":"""",""level8"":""""}"
"3908","3787","Jumper","{""id"":""3908"",""ordinal"":""2"",""name"":""Jumper"",""display_name"":"""",""created_at"":""2017-10-19 16:22:31"",""updated_at"":""2019-06-04 17:18:29"",""code"":""sports & outdoors > apparel > mens > rugby > jumper"",""parent_id"":""3787"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > mens > rugby"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3770"",""level4"":""3787"",""level5"":""3908"",""level6"":"""",""level7"":"""",""level8"":""""}"
"3911","3787","Shorts","{""id"":""3911"",""ordinal"":""5"",""name"":""Shorts"",""display_name"":"""",""created_at"":""2017-10-19 16:23:41"",""updated_at"":""2019-06-04 17:18:29"",""code"":""sports & outdoors > apparel > mens > rugby > shorts"",""parent_id"":""3787"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > mens > rugby"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3770"",""level4"":""3787"",""level5"":""3911"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4020","4019","Coats and Jackets","{""id"":""4020"",""ordinal"":""1"",""name"":""Coats and Jackets"",""display_name"":"""",""created_at"":""2017-12-06 17:19:37"",""updated_at"":""2019-06-04 17:18:31"",""code"":""apparel & footwear > women's > specialty apparel > plus size clothing > coats and jackets"",""parent_id"":""4019"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > women's > specialty apparel > plus size clothing"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":""3"",""level1"":""1"",""level2"":""215"",""level3"":""264"",""level4"":""4019"",""level5"":""4020"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4054","4048","Shorts","{""id"":""4054"",""ordinal"":""6"",""name"":""Shorts"",""display_name"":"""",""created_at"":""2018-07-31 17:03:19"",""updated_at"":""2019-06-04 17:18:33"",""code"":""sports & outdoors > apparel > womens > outdoor recreation > shorts"",""parent_id"":""4048"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > womens > outdoor recreation"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3769"",""level4"":""4048"",""level5"":""4054"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4058","4048","Socks","{""id"":""4058"",""ordinal"":""10"",""name"":""Socks"",""display_name"":"""",""created_at"":""2018-07-31 17:07:04"",""updated_at"":""2019-06-04 17:18:33"",""code"":""sports & outdoors > apparel > womens > outdoor recreation > socks"",""parent_id"":""4048"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > womens > outdoor recreation"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3769"",""level4"":""4048"",""level5"":""4058"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4065","4062","Vests","{""id"":""4065"",""ordinal"":""3"",""name"":""Vests"",""display_name"":"""",""created_at"":""2018-07-31 17:20:34"",""updated_at"":""2019-06-04 17:18:33"",""code"":""sports & outdoors > apparel > mens > outdoor recreation > vests"",""parent_id"":""4062"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > mens > outdoor recreation"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3770"",""level4"":""4062"",""level5"":""4065"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4127","4091","Gloves","{""id"":""4127"",""ordinal"":""2"",""name"":""Gloves"",""display_name"":"""",""created_at"":""2018-10-02 16:53:59"",""updated_at"":""2019-06-04 17:18:33"",""code"":""sports & outdoors > apparel > girls > afl > gloves"",""parent_id"":""4091"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > girls > afl"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""4078"",""level4"":""4091"",""level5"":""4127"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4170","4093","Gloves","{""id"":""4170"",""ordinal"":""2"",""name"":""Gloves"",""display_name"":"""",""created_at"":""2018-10-02 17:09:00"",""updated_at"":""2019-06-04 17:18:35"",""code"":""sports & outdoors > apparel > girls > cycling > gloves"",""parent_id"":""4093"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > girls > cycling"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""4078"",""level4"":""4093"",""level5"":""4170"",""level6"":"""",""level7"":"""",""level8"":""""}"
